file_path,extension,size_bytes,line_count,is_python,is_test,is_script,is_doc,is_experiment,is_cache_or_build,last_modified_time,git_status,classification,notes
AGENTS.md,.md,18908,255,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_AUDIT_OPTIMIZATION_CHANGELOG.md,.md,1059,29,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_BSCAN_COMPACT_UI_20260601.md,.md,1167,33,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_BSCAN_UI_EXPORT_20260531.md,.md,1810,42,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.2_UI_TEXT_PARAMS.md,.md,726,19,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.3_VIEW_INTERACTION.md,.md,1643,33,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.4_LOG_TRACE_FILTERS.md,.md,1091,27,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.5_INTERACTION_FILTER_SAFETY.md,.md,1501,22,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.6_UI_POLISH.md,.md,1897,49,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.7_UI_QUALITY.md,.md,1399,26,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.8_INTERACTION_FEEDBACK.md,.md,1320,26,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.6.9_PIPELINE_STEPPER.md,.md,1030,23,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.0_BRAND_REPORT.md,.md,1033,22,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.1_STABILITY_AUDIT_FIX.md,.md,2008,28,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.2_TESTING_EVIDENCE_CLEANUP.md,.md,2505,69,False,True,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,tests,
CHATGPT_CHANGELOG_V0.7.3_TEST_BASELINE.md,.md,1434,36,False,True,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,tests,
CHATGPT_CHANGELOG_V0.7.4_PATH_BRAND_CLEANUP.md,.md,1127,13,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.5_EVIDENCE_PACKAGE.md,.md,2520,61,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.6_HISTORY_MEMORY.md,.md,1690,29,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.7.7_STRUCTURED_ERRORS_LOGS.md,.md,1357,40,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
CHATGPT_CHANGELOG_V0.8.0_SHARED_DATA_DECOUPLING.md,.md,2345,49,False,False,False,True,False,False,2026-06-03T04:58:42,zip_package_untracked_unknown,docs,
