method_key,fixture_name,classification,main_status,research_status,same_shape,same_hash,rms_rel_diff,shape_changed_main,shape_changed_research,warning_count_main,warning_count_research
agcGain,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
agcGain,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
agcGain,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
agcGain,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
amplitude_scale,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
amplitude_scale,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
amplitude_scale,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
amplitude_scale,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
dewow,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
dewow,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
dewow,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
dewow,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
energy_decay_gain,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
energy_decay_gain,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
energy_decay_gain,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
energy_decay_gain,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
equidistant_trace_resample,field_like_501x2378,unexpected_diff,error,error,,,,False,False,,
equidistant_trace_resample,metadata_missing,unexpected_diff,error,error,,,,False,False,,
equidistant_trace_resample,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
equidistant_trace_resample,small_deterministic,unexpected_diff,error,error,,,,False,False,,
frequency_filter_1d,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
frequency_filter_1d,metadata_missing,identical,ok,ok,True,True,0.0,,,1,1
frequency_filter_1d,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
frequency_filter_1d,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
kirchhoff_migration,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
kirchhoff_migration,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
kirchhoff_migration,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
kirchhoff_migration,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
median_background_2D,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
median_background_2D,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
median_background_2D,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
median_background_2D,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
motion_compensation_v2,field_like_501x2378,identical,ok,ok,True,True,0.0,,,1,1
motion_compensation_v2,metadata_missing,identical,ok,ok,True,True,0.0,,,1,1
motion_compensation_v2,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
motion_compensation_v2,small_deterministic,identical,ok,ok,True,True,0.0,,,1,1
running_average_2D,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
running_average_2D,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
running_average_2D,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
running_average_2D,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
sec_gain,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
sec_gain,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
sec_gain,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
sec_gain,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
set_zero_time,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
set_zero_time,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
set_zero_time,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
set_zero_time,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
stolt_migration,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
stolt_migration,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
stolt_migration,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
stolt_migration,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
subtracting_average_2D,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
subtracting_average_2D,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
subtracting_average_2D,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
subtracting_average_2D,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
time_cut,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
time_cut,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
time_cut,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
time_cut,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
trace_qc,field_like_501x2378,identical,ok,ok,True,True,0.0,,,0,0
trace_qc,metadata_missing,identical,ok,ok,True,True,0.0,,,0,0
trace_qc,metadata_rich_uav,identical,ok,ok,True,True,0.0,,,0,0
trace_qc,small_deterministic,identical,ok,ok,True,True,0.0,,,0,0
