path,classification,file_count,python_file_count,total_size_bytes,physical_lines,include_in_softcopyright_snapshot,reason,notes
AGENTS.md,docs,1,0,18908,0,True,documentation useful for manual/source evidence,
CHATGPT_AUDIT_OPTIMIZATION_CHANGELOG.md,docs,1,0,1059,0,True,documentation useful for manual/source evidence,
CHATGPT_BSCAN_COMPACT_UI_20260601.md,docs,1,0,1167,0,True,documentation useful for manual/source evidence,
CHATGPT_BSCAN_UI_EXPORT_20260531.md,docs,1,0,1810,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.2_UI_TEXT_PARAMS.md,docs,1,0,726,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.3_VIEW_INTERACTION.md,docs,1,0,1643,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.4_LOG_TRACE_FILTERS.md,docs,1,0,1091,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.5_INTERACTION_FILTER_SAFETY.md,docs,1,0,1501,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.6_UI_POLISH.md,docs,1,0,1897,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.7_UI_QUALITY.md,docs,1,0,1399,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.8_INTERACTION_FEEDBACK.md,docs,1,0,1320,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.6.9_PIPELINE_STEPPER.md,docs,1,0,1030,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.0_BRAND_REPORT.md,docs,1,0,1033,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.1_STABILITY_AUDIT_FIX.md,docs,1,0,2008,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.2_TESTING_EVIDENCE_CLEANUP.md,tests,1,0,2505,0,partial_review,tests useful but not always part of softcopyright submission,
CHATGPT_CHANGELOG_V0.7.3_TEST_BASELINE.md,tests,1,0,1434,0,partial_review,tests useful but not always part of softcopyright submission,
CHATGPT_CHANGELOG_V0.7.4_PATH_BRAND_CLEANUP.md,docs,1,0,1127,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.5_EVIDENCE_PACKAGE.md,docs,1,0,2520,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.6_HISTORY_MEMORY.md,docs,1,0,1690,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.7.7_STRUCTURED_ERRORS_LOGS.md,docs,1,0,1357,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.0_SHARED_DATA_DECOUPLING.md,docs,1,0,2345,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.10_LINEAGE_MULTI_COMPARE.md,docs,1,0,2235,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.11_COMPARE_DISPLAY_TRACE_CLEANUP.md,docs,1,0,1435,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.12_HOVER_CROSSHAIR_RETIRE_COMPARE_AUDIT.md,docs,1,0,555,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.13_SLIDER_COMPARE_COMPACT_TRAY.md,docs,1,0,1322,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.14_DISPLAY_INTERPOLATION_COMPAT.md,docs,1,0,1054,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.15_COMPACT_BOTTOM_WORKSPACE.md,docs,1,0,1406,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.16_SLIDER_COMPARE_SMOOTHER.md,docs,1,0,1303,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.1_REPORT_EXPORT_CONTROLLER.md,docs,1,0,2337,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.2_PROCESSING_LINEAGE_CONTROLLER.md,docs,1,0,1476,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.3_BSCAN_INTERACTION_CONTROLLER.md,docs,1,0,1905,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.4_AUTOTUNE_SYNC_CONTROLLER.md,autotune_runtime,1,0,2140,0,True,AutoTune user-facing/runtime capability,
CHATGPT_CHANGELOG_V0.8.5_APP_QT_CLOSURE.md,ui,1,0,772,0,True,user-facing application UI,
CHATGPT_CHANGELOG_V0.8.6_FINAL_AUDIT_FIXES.md,docs,1,0,2762,0,True,documentation useful for manual/source evidence,
CHATGPT_CHANGELOG_V0.8.7_PROCESSING_LINEAGE_ENHANCEMENT.md,docs,1,0,2122,0,True,documentation useful for manual/source evidence,
