path,classification,include_reason,submission_note
AGENTS.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_AUDIT_OPTIMIZATION_CHANGELOG.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_BSCAN_COMPACT_UI_20260601.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_BSCAN_UI_EXPORT_20260531.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.2_UI_TEXT_PARAMS.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.3_VIEW_INTERACTION.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.4_LOG_TRACE_FILTERS.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.5_INTERACTION_FILTER_SAFETY.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.6_UI_POLISH.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.7_UI_QUALITY.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.8_INTERACTION_FEEDBACK.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.6.9_PIPELINE_STEPPER.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.0_BRAND_REPORT.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.1_STABILITY_AUDIT_FIX.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.4_PATH_BRAND_CLEANUP.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.5_EVIDENCE_PACKAGE.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.6_HISTORY_MEMORY.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.7.7_STRUCTURED_ERRORS_LOGS.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.0_SHARED_DATA_DECOUPLING.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.10_LINEAGE_MULTI_COMPARE.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.11_COMPARE_DISPLAY_TRACE_CLEANUP.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.12_HOVER_CROSSHAIR_RETIRE_COMPARE_AUDIT.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.13_SLIDER_COMPARE_COMPACT_TRAY.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.14_DISPLAY_INTERPOLATION_COMPAT.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.15_COMPACT_BOTTOM_WORKSPACE.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.16_SLIDER_COMPARE_SMOOTHER.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.1_REPORT_EXPORT_CONTROLLER.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.2_PROCESSING_LINEAGE_CONTROLLER.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.3_BSCAN_INTERACTION_CONTROLLER.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.4_AUTOTUNE_SYNC_CONTROLLER.md,autotune_runtime,AutoTune user-facing/runtime capability,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.5_APP_QT_CLOSURE.md,ui,user-facing application UI,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.6_FINAL_AUDIT_FIXES.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.7_PROCESSING_LINEAGE_ENHANCEMENT.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.8_LINEAGE_COMPARE_UX.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_CHANGELOG_V0.8.9_LINEAGE_COMPARE_TOGGLE.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_FINAL_CHANGELOG.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_PACKAGE_HOTFIX_README.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_ROI_TOGGLE_CHANGELOG.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CHATGPT_WEB_AUDIT_20260531.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
CURRENT_STATE.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
PythonModule,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
README.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
START_MYGPR_README.md,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
app_qt.py,ui,user-facing application UI,include or cite as project source depending on final manual scope
cli_batch.py,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
config,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
core,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
docs,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
read_file_data.py,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
requirements-dev.txt,docs,documentation useful for manual/source evidence,include or cite as project source depending on final manual scope
sample_data,core_runtime,core processing/runtime module,include or cite as project source depending on final manual scope
ui,ui,user-facing application UI,include or cite as project source depending on final manual scope
