timestamp_s,height_agl_m,height_source,snr,target_count,valid,height_confidence
2000.000000,0.141959,nar15_synthetic_demo,21.440,1,1,0.860
2000.080000,0.147209,nar15_synthetic_demo,21.464,1,1,0.866
2000.160000,0.152559,nar15_synthetic_demo,21.487,1,1,0.872
2000.240000,0.132503,nar15_synthetic_demo,21.510,1,1,0.878
2000.320000,0.142615,nar15_synthetic_demo,21.533,1,1,0.883
2000.400000,0.146992,nar15_synthetic_demo,21.556,1,1,0.889
2000.480000,0.147149,nar15_synthetic_demo,21.578,1,1,0.895
2000.560000,0.150430,nar15_synthetic_demo,21.600,1,1,0.900
2000.640000,0.147513,nar15_synthetic_demo,21.621,1,1,0.905
2000.720000,0.144818,nar15_synthetic_demo,21.642,1,1,0.911
2000.800000,0.150923,nar15_synthetic_demo,21.662,1,1,0.915
2000.880000,0.160000,nar15_synthetic_demo,21.681,1,1,0.920
2000.960000,0.160000,nar15_synthetic_demo,21.699,1,1,0.925
2001.040000,0.160000,nar15_synthetic_demo,21.717,1,1,0.929
2001.120000,0.151970,nar15_synthetic_demo,21.733,1,1,0.933
2001.200000,0.157938,nar15_synthetic_demo,21.749,1,1,0.937
2001.280000,0.160000,nar15_synthetic_demo,21.763,1,1,0.941
2001.360000,0.151399,nar15_synthetic_demo,21.777,1,1,0.944
2001.440000,0.148360,nar15_synthetic_demo,21.789,1,1,0.947
2001.520000,0.155168,nar15_synthetic_demo,21.800,1,1,0.950
2001.600000,0.149952,nar15_synthetic_demo,21.809,1,1,0.952
2001.680000,0.155273,nar15_synthetic_demo,21.818,1,1,0.954
2001.760000,0.157423,nar15_synthetic_demo,21.825,1,1,0.956
2001.840000,0.151797,nar15_synthetic_demo,21.831,1,1,0.958
2001.920000,0.145602,nar15_synthetic_demo,21.835,1,1,0.959
2002.000000,0.151762,nar15_synthetic_demo,21.838,1,1,0.959
2002.080000,0.156144,nar15_synthetic_demo,21.840,1,1,0.960
2002.160000,0.140567,nar15_synthetic_demo,21.840,1,1,0.960
2002.240000,0.147609,nar15_synthetic_demo,21.839,1,1,0.960
2002.320000,0.146949,nar15_synthetic_demo,21.836,1,1,0.959
2002.400000,0.160000,nar15_synthetic_demo,21.833,1,1,0.958
2002.480000,0.148643,nar15_synthetic_demo,21.827,1,1,0.957
2002.560000,0.145715,nar15_synthetic_demo,21.821,1,1,0.955
2002.640000,0.139738,nar15_synthetic_demo,21.813,1,1,0.953
2002.720000,0.143545,nar15_synthetic_demo,21.804,1,1,0.951
2002.800000,0.152040,nar15_synthetic_demo,21.793,1,1,0.948
2002.880000,0.157859,nar15_synthetic_demo,21.782,1,1,0.945
2002.960000,0.135788,nar15_synthetic_demo,21.769,1,1,0.942
2003.040000,0.136454,nar15_synthetic_demo,21.755,1,1,0.939
2003.120000,0.134744,nar15_synthetic_demo,21.740,1,1,0.935
2003.200000,0.144805,nar15_synthetic_demo,21.724,1,1,0.931
2003.280000,0.134018,nar15_synthetic_demo,21.707,1,1,0.927
2003.360000,0.122837,nar15_synthetic_demo,21.689,1,1,0.922
2003.440000,0.130471,nar15_synthetic_demo,21.670,1,1,0.917
2003.520000,0.126463,nar15_synthetic_demo,21.650,1,1,0.913
2003.600000,0.111987,nar15_synthetic_demo,21.630,1,1,0.907
2003.680000,0.117741,nar15_synthetic_demo,21.609,1,1,0.902
2003.760000,0.110838,nar15_synthetic_demo,21.587,1,1,0.897
2003.840000,0.121508,nar15_synthetic_demo,21.565,1,1,0.891
2003.920000,0.111776,nar15_synthetic_demo,21.543,1,1,0.886
2004.000000,0.118084,nar15_synthetic_demo,21.520,1,1,0.880
2004.080000,0.122071,nar15_synthetic_demo,21.496,1,1,0.874
2004.160000,0.109422,nar15_synthetic_demo,21.473,1,1,0.868
2004.240000,0.103178,nar15_synthetic_demo,21.450,1,1,0.862
2004.320000,0.103611,nar15_synthetic_demo,21.426,1,1,0.857
2004.400000,0.111855,nar15_synthetic_demo,21.403,1,1,0.851
2004.480000,0.097408,nar15_synthetic_demo,21.379,1,1,0.845
2004.560000,0.109889,nar15_synthetic_demo,21.356,1,1,0.839
2004.640000,0.104877,nar15_synthetic_demo,21.333,1,1,0.833
2004.720000,0.096591,nar15_synthetic_demo,21.311,1,1,0.828
2004.800000,0.101523,nar15_synthetic_demo,21.289,1,1,0.822
2004.880000,0.096744,nar15_synthetic_demo,21.267,1,1,0.817
2004.960000,0.094636,nar15_synthetic_demo,21.246,1,1,0.812
2005.040000,0.101911,nar15_synthetic_demo,21.226,1,1,0.807
2005.120000,0.097443,nar15_synthetic_demo,21.207,1,1,0.802
2005.200000,0.091790,nar15_synthetic_demo,21.188,1,1,0.797
2005.280000,0.087155,nar15_synthetic_demo,21.170,1,1,0.793
2005.360000,0.094440,nar15_synthetic_demo,21.153,1,1,0.788
2005.440000,0.094440,nar15_synthetic_demo,21.137,1,1,0.784
2005.520000,0.091341,nar15_synthetic_demo,21.122,1,1,0.781
2005.600000,0.091449,nar15_synthetic_demo,21.109,1,1,0.777
2005.680000,0.081016,nar15_synthetic_demo,21.096,1,1,0.774
2005.760000,0.092320,nar15_synthetic_demo,21.085,1,1,0.771
2005.840000,0.088086,nar15_synthetic_demo,21.074,1,1,0.769
2005.920000,0.080000,nar15_synthetic_demo,21.066,1,1,0.766
2006.000000,0.093755,nar15_synthetic_demo,21.058,1,1,0.764
2006.080000,0.083848,nar15_synthetic_demo,21.052,1,1,0.763
2006.160000,0.080000,nar15_synthetic_demo,21.047,1,1,0.762
2006.240000,0.090714,nar15_synthetic_demo,21.043,1,1,0.761
2006.320000,0.085746,nar15_synthetic_demo,21.041,1,1,0.760
2006.400000,0.089647,nar15_synthetic_demo,21.040,1,1,0.760
2006.480000,0.084149,nar15_synthetic_demo,21.041,1,1,0.760
2006.560000,0.087252,nar15_synthetic_demo,21.042,1,1,0.761
2006.640000,0.091209,nar15_synthetic_demo,21.046,1,1,0.761
2006.720000,0.094572,nar15_synthetic_demo,21.050,1,1,0.763
2006.800000,0.088005,nar15_synthetic_demo,21.056,1,1,0.764
2006.880000,0.090170,nar15_synthetic_demo,21.064,1,1,0.766
2006.960000,0.087821,nar15_synthetic_demo,21.072,1,1,0.768
2007.040000,0.093552,nar15_synthetic_demo,21.082,1,1,0.771
2007.120000,0.092572,nar15_synthetic_demo,21.093,1,1,0.773
2007.200000,0.101654,nar15_synthetic_demo,21.106,1,1,0.776
2007.280000,0.094501,nar15_synthetic_demo,21.119,1,1,0.780
2007.360000,0.098777,nar15_synthetic_demo,21.134,1,1,0.783
2007.440000,0.091300,nar15_synthetic_demo,21.150,1,1,0.787
2007.520000,0.097758,nar15_synthetic_demo,21.166,1,1,0.792
2007.600000,0.091918,nar15_synthetic_demo,21.184,1,1,0.796
2007.680000,0.101017,nar15_synthetic_demo,21.202,1,1,0.801
2007.760000,0.101439,nar15_synthetic_demo,21.222,1,1,0.805
2007.840000,0.106853,nar15_synthetic_demo,21.242,1,1,0.810
2007.920000,0.110104,nar15_synthetic_demo,21.263,1,1,0.816
2008.000000,0.122127,nar15_synthetic_demo,21.284,1,1,0.821
2008.080000,0.119332,nar15_synthetic_demo,21.306,1,1,0.826
2008.160000,0.105905,nar15_synthetic_demo,21.328,1,1,0.832
2008.240000,0.121025,nar15_synthetic_demo,21.351,1,1,0.838
2008.320000,0.113334,nar15_synthetic_demo,21.374,1,1,0.844
2008.400000,0.123666,nar15_synthetic_demo,21.397,1,1,0.849
2008.480000,0.126477,nar15_synthetic_demo,21.421,1,1,0.855
2008.560000,0.127491,nar15_synthetic_demo,21.444,1,1,0.861
2008.640000,0.131092,nar15_synthetic_demo,21.468,1,1,0.867
2008.720000,0.126662,nar15_synthetic_demo,21.491,1,1,0.873
2008.800000,0.139787,nar15_synthetic_demo,21.515,1,1,0.879
2008.880000,0.127403,nar15_synthetic_demo,21.537,1,1,0.884
2008.960000,0.138578,nar15_synthetic_demo,21.560,1,1,0.890
2009.040000,0.133191,nar15_synthetic_demo,21.582,1,1,0.896
2009.120000,0.124257,nar15_synthetic_demo,21.604,1,1,0.901
2009.200000,0.136283,nar15_synthetic_demo,21.625,1,1,0.906
2009.280000,0.141763,nar15_synthetic_demo,21.646,1,1,0.911
2009.360000,0.135598,nar15_synthetic_demo,21.666,1,1,0.916
2009.440000,0.141789,nar15_synthetic_demo,21.685,1,1,0.921
2009.520000,0.152771,nar15_synthetic_demo,21.703,1,1,0.926
2009.600000,0.150668,nar15_synthetic_demo,21.720,1,1,0.930
2009.680000,0.143777,nar15_synthetic_demo,21.736,1,1,0.934
2009.760000,0.145652,nar15_synthetic_demo,21.752,1,1,0.938
2009.840000,0.140839,nar15_synthetic_demo,21.766,1,1,0.941
2009.920000,0.160000,nar15_synthetic_demo,21.779,1,1,0.945
2010.000000,0.145133,nar15_synthetic_demo,21.791,1,1,0.948
2010.080000,0.160000,nar15_synthetic_demo,21.802,1,1,0.950
2010.160000,0.150992,nar15_synthetic_demo,21.811,1,1,0.953
2010.240000,0.155913,nar15_synthetic_demo,21.819,1,1,0.955
2010.320000,0.145137,nar15_synthetic_demo,21.826,1,1,0.956
2010.400000,0.143020,nar15_synthetic_demo,21.831,1,1,0.958
2010.480000,0.151010,nar15_synthetic_demo,21.836,1,1,0.959
2010.560000,0.149625,nar15_synthetic_demo,21.838,1,1,0.960
2010.640000,0.156840,nar15_synthetic_demo,21.840,1,1,0.960
2010.720000,0.160000,nar15_synthetic_demo,21.840,1,1,0.960
2010.800000,0.148987,nar15_synthetic_demo,21.838,1,1,0.960
2010.880000,0.146690,nar15_synthetic_demo,21.836,1,1,0.959
2010.960000,0.158174,nar15_synthetic_demo,21.832,1,1,0.958
2011.040000,0.152265,nar15_synthetic_demo,21.826,1,1,0.957
2011.120000,0.145483,nar15_synthetic_demo,21.819,1,1,0.955
