timestamp_s,roll_deg,pitch_deg,yaw_deg,angular_rate_x,angular_rate_y,angular_rate_z
2000.000000,0.895662,1.862126,4.000000,0.120000,0.000000,0.050000
2000.080000,1.049246,1.880379,4.049140,0.117364,0.016997,0.049698
2000.160000,1.197131,1.892702,4.098264,0.109571,0.033383,0.048795
2000.240000,1.338514,1.899057,4.147359,0.096963,0.048567,0.047302
2000.320000,1.472628,1.899423,4.196408,0.080096,0.062003,0.045238
2000.400000,1.598743,1.893799,4.245396,0.059709,0.073207,0.042626
2000.480000,1.716175,1.882204,4.294309,0.036698,0.081777,0.039500
2000.560000,1.824286,1.864673,4.343131,0.012075,0.087403,0.035896
2000.640000,1.922490,1.841262,4.391847,-0.013078,0.089884,0.031858
2000.720000,2.010251,1.812045,4.440443,-0.037657,0.089129,0.027434
2000.800000,2.087095,1.777114,4.488903,-0.060582,0.085167,0.022680
2000.880000,2.152604,1.736578,4.537213,-0.080844,0.078139,0.017651
2000.960000,2.206421,1.690567,4.585357,-0.097554,0.068299,0.012409
2001.040000,2.248254,1.639225,4.633321,-0.109978,0.056001,0.007017
2001.120000,2.277877,1.582713,4.681089,-0.117570,0.041687,0.001540
2001.200000,2.295129,1.521211,4.728648,-0.119996,0.025873,-0.003956
2001.280000,2.299915,1.454911,4.775983,-0.117149,0.009128,-0.009404
2001.360000,2.292209,1.384024,4.823078,-0.109155,-0.007946,-0.014738
2001.440000,2.272055,1.308772,4.869920,-0.096366,-0.024734,-0.019894
2001.520000,2.239560,1.229393,4.916494,-0.079341,-0.040632,-0.024809
2001.600000,2.194902,1.146138,4.962786,-0.058831,-0.055067,-0.029425
2001.680000,2.138323,1.059268,5.008781,-0.035736,-0.067521,-0.033685
2001.760000,2.070130,0.969058,5.054465,-0.011071,-0.077544,-0.037538
2001.840000,1.990694,0.875792,5.099825,0.014081,-0.084776,-0.040937
2001.920000,1.900446,0.779764,5.144845,0.038614,-0.088957,-0.043841
2002.000000,1.799876,0.681278,5.189513,0.061450,-0.089936,-0.046215
2002.080000,1.689531,0.580643,5.233815,0.081587,-0.087679,-0.048031
2002.160000,1.570010,0.478177,5.277737,0.098138,-0.082265,-0.049266
2002.240000,1.441962,0.374203,5.321265,0.110378,-0.073891,-0.049905
2002.320000,1.306082,0.269049,5.364386,0.117768,-0.062858,-0.049941
2002.400000,1.163108,0.163047,5.407087,0.119983,-0.049562,-0.049374
2002.480000,1.013818,0.056530,5.449355,0.116927,-0.034482,-0.048210
2002.560000,0.859021,-0.050164,5.491176,0.108732,-0.018161,-0.046463
2002.640000,0.699559,-0.156701,5.532537,0.095761,-0.001187,-0.044154
2002.720000,0.536297,-0.262743,5.573427,0.078582,0.015831,-0.041312
2002.800000,0.370122,-0.367957,5.613832,0.057950,0.032278,-0.037970
2002.880000,0.201938,-0.472010,5.653740,0.034772,0.047564,-0.034169
2002.960000,0.032656,-0.574575,5.693138,0.010066,0.061137,-0.029955
2003.040000,-0.136803,-0.675329,5.732015,-0.015082,0.072511,-0.025380
2003.120000,-0.305518,-0.773952,5.770359,-0.039568,0.081274,-0.020497
2003.200000,-0.472575,-0.870135,5.808157,-0.062315,0.087113,-0.015367
2003.280000,-0.637065,-0.963574,5.845398,-0.082324,0.089816,-0.010051
2003.360000,-0.798095,-1.053975,5.882071,-0.098715,0.089286,-0.004613
2003.440000,-0.954790,-1.141052,5.918164,-0.110770,0.085543,0.000881
2003.520000,-1.106299,-1.224531,5.953667,-0.117957,0.078721,0.006363
2003.600000,-1.251800,-1.304148,5.988567,-0.119962,0.069066,0.011769
2003.680000,-1.390503,-1.379653,6.022855,-0.116696,0.056925,0.017033
2003.760000,-1.521653,-1.450807,6.056520,-0.108302,0.042735,0.022090
2003.840000,-1.644538,-1.517386,6.089551,-0.095150,0.027007,0.026881
2003.920000,-1.758492,-1.579181,6.121939,-0.077817,0.010307,0.031347
2004.000000,-1.862896,-1.635995,6.153673,-0.057064,-0.006764,0.035433
2004.080000,-1.957181,-1.687651,6.184744,-0.033805,-0.023591,0.039092
2004.160000,-2.040837,-1.733985,6.215142,-0.009060,-0.039570,0.042278
2004.240000,-2.113408,-1.774850,6.244858,0.016083,-0.054124,0.044953
2004.320000,-2.174501,-1.810119,6.273882,0.040519,-0.066730,0.047084
2004.400000,-2.223784,-1.839680,6.302205,0.063175,-0.076935,0.048647
2004.480000,-2.260989,-1.863440,6.329820,0.083055,-0.084370,0.049621
2004.560000,-2.285915,-1.881324,6.356717,0.099286,-0.088769,0.049996
2004.640000,-2.298425,-1.893274,6.382888,0.111154,-0.089973,0.049766
2004.720000,-2.298451,-1.899255,6.408325,0.118138,-0.087939,0.048934
2004.800000,-2.285995,-1.899247,6.433020,0.119932,-0.082740,0.047512
2004.880000,-2.261123,-1.893249,6.456966,0.116456,-0.074562,0.045514
2004.960000,-2.223970,-1.881281,6.480155,0.107864,-0.063701,0.042967
2005.040000,-2.174738,-1.863381,6.502580,0.094531,-0.050548,0.039900
