timestamp_s,longitude,latitude,ground_elevation_m,flight_height_m,local_x_m,local_y_m,local_z_m,rtk_fix_type,satellites,hdop
2000.000000,104.1234560000,30.6543217007,116.000000,0.141959,0.000000,0.078004,116.141959,5,18,0.550
2000.080000,104.1234596981,30.6543229417,116.003243,0.148638,0.354142,0.216154,116.151881,5,19,0.590
2000.160000,104.1234634285,30.6543210733,116.006486,0.155396,0.711379,0.008158,116.161882,5,20,0.630
2000.240000,104.1234672191,30.6543222440,116.009727,0.136708,1.074382,0.138485,116.146435,5,21,0.670
2000.320000,104.1234709692,30.6543216870,116.012966,0.148129,1.433515,0.076480,116.161095,5,22,0.550
2000.400000,104.1234747666,30.6543227140,116.016202,0.153735,1.797169,0.190803,116.169937,5,18,0.590
2000.480000,104.1234783501,30.6543207731,116.019435,0.155027,2.140337,-0.025263,116.174462,5,19,0.630
2000.560000,104.1234822183,30.6543219156,116.022663,0.159329,2.510774,0.101927,116.181992,5,20,0.670
2000.640000,104.1234861658,30.6543210683,116.025887,0.157307,2.888798,0.007601,116.183194,5,21,0.550
2000.720000,104.1234898724,30.6543221480,116.029105,0.155368,3.243760,0.127792,116.184472,5,22,0.590
2000.800000,104.1234936863,30.6543228797,116.032317,0.162079,3.608989,0.209250,116.194395,5,18,0.630
2000.880000,104.1234978437,30.6543242198,116.035521,0.171603,4.007117,0.358425,116.207124,5,19,0.670
2000.960000,104.1235016888,30.6543237196,116.038718,0.171885,4.375347,0.302746,116.210603,5,20,0.550
2001.040000,104.1235056768,30.6543235104,116.041906,0.171998,4.757249,0.279455,116.213904,5,21,0.590
2001.120000,104.1235097011,30.6543229899,116.045086,0.163910,5.142632,0.221521,116.208996,5,22,0.630
2001.200000,104.1235136161,30.6543233560,116.048255,0.169651,5.517554,0.262266,116.217906,5,18,0.670
2001.280000,104.1235174434,30.6543235261,116.051414,0.171318,5.884067,0.281201,116.222732,5,19,0.550
2001.360000,104.1235213823,30.6543248598,116.054562,0.162162,6.261268,0.429673,116.216724,5,20,0.590
2001.440000,104.1235252369,30.6543235234,116.057698,0.158414,6.630408,0.280905,116.216113,5,21,0.630
2001.520000,104.1235291079,30.6543260220,116.060822,0.164371,7.001110,0.559052,116.225193,5,22,0.670
2001.600000,104.1235331312,30.6543237701,116.063932,0.158173,7.386395,0.308371,116.222105,5,18,0.550
2001.680000,104.1235368609,30.6543235958,116.067028,0.162394,7.743569,0.288965,116.229422,5,19,0.590
2001.760000,104.1235407759,30.6543239312,116.070110,0.163344,8.118486,0.326299,116.233454,5,20,0.630
2001.840000,104.1235448508,30.6543248111,116.073177,0.156433,8.508709,0.424250,116.229609,5,21,0.670
2001.920000,104.1235488366,30.6543242445,116.076227,0.148888,8.890403,0.361173,116.225115,5,22,0.550
2002.000000,104.1235527834,30.6543254983,116.079261,0.153650,9.268370,0.500745,116.232911,5,18,0.590
2002.080000,104.1235563723,30.6543244051,116.082278,0.156608,9.612060,0.379057,116.238886,5,19,0.630
2002.160000,104.1235600601,30.6543256005,116.085277,0.139600,9.965213,0.512131,116.224877,5,20,0.670
2002.240000,104.1235640844,30.6543258952,116.088258,0.145224,10.350602,0.544937,116.233482,5,21,0.550
2002.320000,104.1235678317,30.6543253100,116.091219,0.143181,10.709456,0.479789,116.234400,5,22,0.590
2002.400000,104.1235716666,30.6543257592,116.094160,0.154902,11.076699,0.529792,116.249062,5,18,0.630
2002.480000,104.1235756510,30.6543266594,116.097081,0.142288,11.458262,0.630006,116.239369,5,19,0.670
2002.560000,104.1235792394,30.6543245410,116.099981,0.138193,11.801903,0.394189,116.238175,5,20,0.550
2002.640000,104.1235827164,30.6543257268,116.102859,0.131157,12.134874,0.526189,116.234016,5,21,0.590
2002.720000,104.1235861514,30.6543262148,116.105715,0.134026,12.463828,0.580513,116.239741,5,22,0.630
2002.800000,104.1235898999,30.6543247525,116.108548,0.141718,12.822792,0.417733,116.250266,5,18,0.670
2002.880000,104.1235933039,30.6543268069,116.111357,0.146882,13.148778,0.646420,116.258239,5,19,0.550
2002.960000,104.1235967820,30.6543281044,116.114142,0.124312,13.481855,0.790862,116.238454,5,20,0.590
